secretaria_canonica,cargo,n,folha_total,folha_media,folha_mediana,pct_feminino
Inativos e Pensionistas (Encargos),INAT/PENS(AJUD.GERAL),33,127403.76,3860.72,3762.98,90.91
Inativos e Pensionistas (Encargos),INAT/PENS(MOTORISTA),17,78871.83,4639.52,4205.65,58.82
Inativos e Pensionistas (Encargos),INAT/PENS(OPER.MAQ.PESADAS),17,94934.22,5584.37,5629.07,52.94
Inativos e Pensionistas (Encargos),INAT/PENS(MESTRE OBRAS),10,76816.35,7681.64,6504.32,70.0
Inativos e Pensionistas (Encargos),INAT/PENS(VIGIA),8,32023.93,4002.99,3821.15,75.0
Inativos e Pensionistas (Encargos),INAT/PENS(OF.MANUT/CONSERVAC),7,32442.6,4634.66,4999.17,85.71
Inativos e Pensionistas (Encargos),INAT/PENS(OF.CALCETEIRO),7,25708.89,3672.7,3689.2,100.0
Inativos e Pensionistas (Encargos),INAT/PENS(OF.ADM.II),6,43832.32,7305.39,7618.78,50.0
Secretaria da Cidadania,ASSIST.SOCIAL I,54,506631.57,9382.07,7507.05,92.59
Secretaria da Cidadania,CONSELHEIRO TUT.CRIANCA/ADOLES,35,310425.91,8869.31,8694.92,93.94
Secretaria da Cidadania,PSICOLOGO I,28,231153.11,8255.47,7150.18,82.14
Secretaria da Cidadania,TEC.DE CONTROLE ADMINISTRATIVO,25,127138.15,5085.53,4449.86,72.0
Secretaria da Cidadania,AGENTE SOCIAL,25,115818.94,4632.76,4381.26,76.0
Secretaria da Cidadania,COORD EQUIP ASSIS SOCIAL (FG),21,240266.19,11441.25,11926.93,71.43
Secretaria da Cidadania,AUX. DE ADMINISTRACAO,20,143806.39,7190.32,5076.59,85.0
Secretaria da Cidadania,CHEFE DE SECAO,16,194703.3,12168.96,12179.77,56.25
Secretaria da Cidadania,AG PROG HUMANIZ (FG),12,132756.72,11063.06,8469.53,0.0
Secretaria da Cidadania,ASSESSOR DE GABINETE,10,160170.12,16017.01,15480.31,60.0
Secretaria da Educação,AUTONOMOS - PROF. EVENTUAL,2270,3036582.75,1337.7,1416.64,95.52
Secretaria da Educação,PEB I,2102,27996123.24,13318.8,12648.2,96.48
Secretaria da Educação,AUX. DE EDUCACAO,1704,8504264.5,4990.77,4722.97,92.68
Secretaria da Educação,PEB I CLT,547,3136152.65,5733.37,4599.99,96.68
Secretaria da Educação,ESTAGIARIO NIVEL SUPERIOR,259,270397.44,1044.01,1084.8,89.92
Secretaria da Educação,INSPETOR DE ALUNOS,243,1058446.85,4355.75,4183.54,63.6
Secretaria da Educação,SECRETARIO DE ESCOLA,149,829711.36,5568.53,5240.32,56.08
Secretaria da Educação,DIRETOR DE ESCOLA,140,2726024.44,19471.6,17583.48,82.14
Secretaria da Educação,ORIENT. PED.,117,1715491.34,14662.32,13237.05,92.24
Secretaria da Educação,AUX. DE ADMINISTRACAO,95,510297.02,5371.55,5171.92,74.19
Secretaria da Fazenda,AUX. DE ADMINISTRACAO,44,305290.74,6938.43,5515.31,61.36
Secretaria da Fazenda,TEC.DE CONTROLE ADMINISTRATIVO,32,207031.51,6469.73,5152.11,61.29
Secretaria da Fazenda,AUDITOR FISCAL DE TRIB. MUNIC,27,658959.6,24405.91,23288.88,29.63
Secretaria da Fazenda,CHEFE DE SECAO,22,262468.52,11930.39,11693.1,81.82
Secretaria da Fazenda,CHEFE DE DIVISAO,8,200144.1,25018.01,18607.9,66.67
Secretaria da Fazenda,ASSIST UN ATEND CIDADAO(FG),8,74814.26,9351.78,8076.06,75.0
Secretaria da Fazenda,CONTADOR I,6,76462.98,12743.83,10715.07,50.0
Secretaria da Habitação e Regularização Fundiária,TEC.DE CONTROLE ADMINISTRATIVO,7,35675.99,5096.57,4449.86,57.14
Secretaria da Habitação e Regularização Fundiária,CHEFE DE SECAO,5,58465.51,11693.1,11990.23,80.0
Secretaria da Habitação e Regularização Fundiária,AUX. DE ADMINISTRACAO,5,28332.81,5666.56,5288.71,60.0
Secretaria da Habitação e Regularização Fundiária,ARQUITETO I,5,57030.69,11406.14,11819.25,40.0
Secretaria da Saúde,TECNICO DE ENFERMAGEM,656,5098363.6,7771.9,7270.99,79.12
Secretaria da Saúde,MEDICO 75H,283,6528982.78,23070.61,19003.68,46.4
Secretaria da Saúde,ENFERMEIRO,267,4436821.89,16617.31,14909.34,89.43
Secretaria da Saúde,TEC.DE CONTROLE ADMINISTRATIVO,212,1035997.79,4886.78,4520.63,61.9
Secretaria da Saúde,AGENTE COMUNITARIO DE SAUDE,147,716563.32,4874.58,5194.79,90.34
Secretaria da Saúde,AUX. DE ADMINISTRACAO,143,778343.07,5442.96,5132.77,78.32
Secretaria da Saúde,MEDICO I 100H,121,1827141.51,15100.34,13353.68,63.33
Secretaria da Saúde,MOTORISTA,120,834366.04,6953.05,6541.36,5.88
Secretaria da Saúde,CIRURGIAO DENTISTA 75H,80,1683880.95,21048.51,20431.36,49.37
Secretaria da Saúde,AUXILIAR EM SAUDE BUCAL,80,565116.56,7063.96,6334.4,97.47
Secretaria de Administração,AUX. DE ADMINISTRACAO,23,171239.84,7445.21,5893.33,65.22
Secretaria de Administração,TEC.DE CONTROLE ADMINISTRATIVO,21,151281.23,7203.87,5096.66,40.0
Secretaria de Administração,CHEFE DE SECAO,19,210162.91,11061.21,12009.05,57.89
Secretaria de Administração,ASSIST.DE ALMOXARIFE,13,63196.21,4861.25,4974.31,30.77
Secretaria de Administração,AG CONTRATACAO/PREGOEIRO(FG),12,203692.24,16974.35,10622.92,81.82
Secretaria de Administração,CHEFE DE DIVISAO,8,135361.54,16920.19,15860.62,87.5
Secretaria de Administração,ESTAGIARIO NIVEL SUPERIOR,8,8604.48,1075.56,1084.8,37.5
Secretaria de Administração,ESTAGIARIO NIVEL MEDIO,7,7593.6,1084.8,1084.8,85.71
Secretaria de Administração,MECANICO,5,45746.53,9149.31,8590.99,0.0
Secretaria de Administração,ASSISTENTE DE SECRETARIA E EXPEDIENTE (FG),5,45324.58,9064.92,7131.74,40.0
Secretaria de Assuntos Jurídicos e Patrimônio,PROCURADOR,29,1035377.83,35702.68,34944.5,48.28
Secretaria de Assuntos Jurídicos e Patrimônio,TEC.DE CONTROLE ADMINISTRATIVO,27,160423.14,5941.6,4638.59,50.0
Secretaria de Assuntos Jurídicos e Patrimônio,AUX. DE ADMINISTRACAO,16,94246.71,5890.42,5525.92,68.75
Secretaria de Assuntos Jurídicos e Patrimônio,ESTAGIARIO NIVEL SUPERIOR,15,16942.8,1129.52,1084.8,46.67
Secretaria de Assuntos Jurídicos e Patrimônio,CHEFE DE SECAO,12,139061.71,11588.48,11881.96,66.67
Secretaria de Assuntos Jurídicos e Patrimônio,CHEFE DE DIVISAO,9,139603.61,15511.51,15671.96,77.78
Secretaria de Assuntos Jurídicos e Patrimônio,PROCURADOR-CHEFE(FG),5,312356.57,62471.31,56346.75,20.0
Secretaria de Comunicação,CHEFE DE SECAO,7,81557.54,11651.08,12261.82,85.71
Secretaria de Comunicação,ASSESSOR DE GABINETE,7,99341.0,14191.57,15480.31,28.57
Secretaria de Comunicação,ESTAGIARIO NIVEL SUPERIOR,5,5362.4,1072.48,1084.8,80.0
Secretaria de Cultura,ESTAGIARIO NIVEL SUPERIOR,19,19748.72,1039.41,1084.8,47.37
Secretaria de Cultura,AUX. DE ADMINISTRACAO,9,45083.73,5009.3,4819.73,55.56
Secretaria de Cultura,TEC.DE CONTROLE ADMINISTRATIVO,9,57356.97,6373.0,4827.3,33.33
Secretaria de Empreendedorismo da Micro e Pequena Empresa,AUX. DE ADMINISTRACAO,5,33684.37,6736.87,5116.99,60.0
Secretaria de Empreendedorismo da Micro e Pequena Empresa,TEC.DE CONTROLE ADMINISTRATIVO,5,32676.65,6535.33,4575.66,100.0
Secretaria de Empreendedorismo da Micro e Pequena Empresa,CHEFE DE SECAO,5,51670.7,10334.14,11624.91,80.0
Secretaria de Esportes e Lazer,TEC.DE ESPORTES I,29,315651.19,10884.52,7692.79,17.86
Secretaria de Esportes e Lazer,TEC.DE CONTROLE ADMINISTRATIVO,10,54960.32,5496.03,5057.98,50.0
Secretaria de Esportes e Lazer,ASSIST UN ESPORTIVAS(FG),10,92317.27,9231.73,7795.98,20.0
Secretaria de Esportes e Lazer,ASSESSOR DE GABINETE,7,88850.81,12692.97,15480.31,42.86
Secretaria de Esportes e Lazer,ESTAGIARIO NIVEL SUPERIOR,7,8184.24,1169.18,1084.8,42.86
Secretaria de Esportes e Lazer,CHEFE DE SECAO,6,66787.81,11131.3,10790.44,33.33
Secretaria de Esportes e Lazer,AJUDANTE GERAL,5,27104.41,5420.88,5205.63,40.0
Secretaria de Gabinete Central,ESTAGIARIO NIVEL SUPERIOR,28,29590.64,1056.81,1084.8,46.43
Secretaria de Gabinete Central,ANALISTA DE SISTEMAS I,25,308078.83,12323.15,9902.75,20.0
Secretaria de Gabinete Central,TELEFONISTA ATENDENTE,13,66077.1,5082.85,4594.22,84.62
Secretaria de Gabinete Central,TEC.DE CONTROLE ADMINISTRATIVO,12,66492.51,5541.04,5178.73,41.67
Secretaria de Gabinete Central,CHEFE DE SECAO,10,116111.47,11611.15,12349.83,50.0
Secretaria de Gabinete Central,AUX. DE ADMINISTRACAO,9,88088.5,9787.61,7727.56,55.56
Secretaria de Gabinete Central,TECNICO EM INFORMATICA,9,55609.54,6178.84,6016.47,11.11
Secretaria de Gabinete Central,CHEFE DE DIVISAO,8,119273.45,14909.18,15830.08,37.5
Secretaria de Gabinete Central,ASSESSOR DE GABINETE,7,92719.24,13245.61,15480.31,71.43
Secretaria de Gabinete Central,CORREGEDOR (FG),5,114293.83,22858.77,15079.43,80.0
Secretaria de Governo,ASSESSOR DE GABINETE,21,311089.46,14813.78,15480.31,42.86
Secretaria de Governo,ESTAGIARIO NIVEL SUPERIOR,18,18484.48,1026.92,1084.8,64.71
Secretaria de Governo,TEC.DE CONTROLE ADMINISTRATIVO,16,84906.08,5306.63,4991.68,60.0
Secretaria de Governo,CHEFE DE SECAO,11,149626.29,13602.39,12271.09,72.73
Secretaria de Governo,CHEFE DE DIVISAO,8,132547.27,16568.41,15945.58,50.0
Secretaria de Governo,ASSISTENTE DE SECRETARIA E EXPEDIENTE (FG),6,78034.03,13005.67,11143.89,83.33
Secretaria de Governo,SUPERV DE PROJ EVENTOS GOVERNAMENTAIS,6,86449.66,14408.28,14935.56,66.67
Secretaria de Governo,AGENTE DE FISCALIZACAO,5,46592.04,9318.41,6872.75,0.0
Secretaria de Mobilidade,TEC.DE CONTROLE ADMINISTRATIVO,13,60377.17,4644.4,4449.86,38.46
Secretaria de Mobilidade,ESTAGIARIO NIVEL SUPERIOR,9,9732.4,1081.38,1084.8,55.56
Secretaria de Mobilidade,ENG.CIVIL I,7,91959.47,13137.07,12085.13,14.29
Secretaria de Mobilidade,CHEFE DE SECAO,6,66612.78,11102.13,12201.86,50.0
Secretaria de Mobilidade,PINTOR,6,33461.72,5576.95,5335.12,0.0
Secretaria de Mobilidade,AJUDANTE GERAL,5,22941.46,4588.29,4167.35,0.0
Secretaria de Parcerias,ENG.CIVIL I,11,126763.16,11523.92,9457.52,36.36
Secretaria de Parcerias,ESTAGIARIO NIVEL SUPERIOR,9,9664.64,1073.85,1084.8,55.56
Secretaria de Parcerias,CHEFE DE SECAO,6,80318.68,13386.45,11314.94,83.33
Secretaria de Planejamento e Desenvolvimento Urbano,FISCAL PUBLICO,42,305633.0,7276.98,7103.34,21.43
Secretaria de Planejamento e Desenvolvimento Urbano,ESTAGIARIO NIVEL SUPERIOR,26,28412.72,1092.8,1084.8,80.77
Secretaria de Planejamento e Desenvolvimento Urbano,AUX. DE FISCALIZACAO,22,224719.88,10214.54,7566.69,45.45
Secretaria de Planejamento e Desenvolvimento Urbano,ENG.CIVIL I,20,275684.33,13784.22,11452.56,25.0
Secretaria de Planejamento e Desenvolvimento Urbano,CHEFE DE SECAO,16,203390.58,12711.91,11997.73,62.5
Secretaria de Planejamento e Desenvolvimento Urbano,TEC.DE CONTROLE ADMINISTRATIVO,13,79027.24,6079.02,4449.86,53.85
Secretaria de Planejamento e Desenvolvimento Urbano,AUX. DE ADMINISTRACAO,12,75850.74,6320.9,5751.57,81.82
Secretaria de Planejamento e Desenvolvimento Urbano,ARQUITETO I,8,128414.2,16051.78,13760.33,62.5
Secretaria de Planejamento e Desenvolvimento Urbano,CHEFE DE DIVISAO,6,92189.5,15364.92,15646.63,50.0
Secretaria de Recursos Humanos,TEC.DE CONTROLE ADMINISTRATIVO,41,303086.81,7392.36,5769.6,60.53
Secretaria de Recursos Humanos,AUX. DE ADMINISTRACAO,22,187774.5,8535.2,6739.08,90.91
Secretaria de Recursos Humanos,CHEFE DE SECAO,14,173558.36,12397.03,12288.73,57.14
Secretaria de Recursos Humanos,ESTAGIARIO NIVEL SUPERIOR,8,8610.64,1076.33,1084.8,87.5
Secretaria de Recursos Humanos,CHEFE DE DIVISAO,6,98576.01,16429.33,16502.95,66.67
Secretaria de Recursos Humanos,TEC.SEGUR.TRABALHO I,6,34958.76,5826.46,5241.5,50.0
Secretaria de Recursos Humanos,ASSISTENTE DE SECRETARIA E EXPEDIENTE (FG),5,76566.85,15313.37,12524.34,100.0
Secretaria de Relações do Trabalho e Qualificação Profissional,AUX. DE ADMINISTRACAO,7,56816.3,8116.61,5089.0,57.14
Secretaria de Relações do Trabalho e Qualificação Profissional,ESTAGIARIO NIVEL SUPERIOR,7,6994.0,999.14,1084.8,57.14
Secretaria de Relações do Trabalho e Qualificação Profissional,TEC.DE CONTROLE ADMINISTRATIVO,6,29292.94,4882.16,4544.22,66.67
Secretaria de Segurança Urbana,GCM-2A CLASSE,340,2579600.95,7587.06,6553.81,19.53
Secretaria de Segurança Urbana,GCM-1A CLASSE,112,1549193.56,13832.09,13555.06,9.01
Secretaria de Segurança Urbana,GCM-CLASSE ESPECIAL,40,581085.99,14527.15,14711.15,17.95
Secretaria de Segurança Urbana,ESTAGIARIO NIVEL SUPERIOR,26,27345.04,1051.73,1084.8,92.0
Secretaria de Segurança Urbana,GCM-CLASSE DISTINTA,20,388293.15,19414.66,18561.26,15.0
Secretaria de Segurança Urbana,AUX. DE SERVICOS OPERACIONAIS,8,60264.05,7533.01,7347.41,0.0
Secretaria de Segurança Urbana,CHEFE DE SECAO,7,92635.05,13233.58,14634.9,28.57
Secretaria de Segurança Urbana,AUX. DE ADMINISTRACAO,5,42162.97,8432.59,6103.97,60.0
Secretaria de Serviços Públicos e Obras,TEC.DE CONTROLE ADMINISTRATIVO,20,89468.23,4473.41,4449.86,60.0
Secretaria de Serviços Públicos e Obras,CHEFE DE SECAO,13,165520.98,12732.38,12217.58,30.77
Secretaria de Serviços Públicos e Obras,AGENTE DE SERVICO CEMITERIAL,13,72578.26,5582.94,5461.11,33.33
Secretaria de Serviços Públicos e Obras,ELETRICISTA,12,70820.64,5901.72,5664.05,0.0
Secretaria de Serviços Públicos e Obras,ENG.CIVIL I,12,133254.14,11104.51,10396.1,50.0
Secretaria de Serviços Públicos e Obras,ASSESSOR DE GABINETE,10,153322.15,15332.22,15480.31,10.0
Secretaria de Serviços Públicos e Obras,AJUDANTE GERAL,9,45486.51,5054.06,4431.21,22.22
Secretaria de Serviços Públicos e Obras,AUX. DE ADMINISTRACAO,6,47348.38,7891.4,7999.02,50.0
Secretaria de Serviços Públicos e Obras,CHEFE DE DIVISAO,5,79531.86,15906.37,16052.54,100.0
Secretaria de Serviços Públicos e Obras,ENG.ELETRICISTA I,5,62659.41,12531.88,13225.14,0.0
"Secretaria do Meio Ambiente, Parques e Jardins",CHEFE DE SECAO,17,204346.83,12020.4,11905.76,70.59
"Secretaria do Meio Ambiente, Parques e Jardins",ESTAGIARIO NIVEL SUPERIOR,14,15608.0,1114.86,1084.8,57.14
"Secretaria do Meio Ambiente, Parques e Jardins",TEC.DE CONTROLE ADMINISTRATIVO,13,67376.87,5182.84,4449.86,61.54
"Secretaria do Meio Ambiente, Parques e Jardins",TECNICO AMBIENTAL,13,124790.27,9599.25,8873.9,53.85
"Secretaria do Meio Ambiente, Parques e Jardins",AUX. DE ADMINISTRACAO,11,93527.86,8502.53,6055.7,72.73
"Secretaria do Meio Ambiente, Parques e Jardins",AGENTE DE VIG.SANITARIA I,8,50416.56,6302.07,6241.51,50.0
"Secretaria do Meio Ambiente, Parques e Jardins",CHEFE DE DIVISAO,6,103663.14,17277.19,15900.5,50.0
"Secretaria do Meio Ambiente, Parques e Jardins",MED VETERINARIO 150H,6,78861.1,13143.52,14317.55,83.33
